size,numThreads,map_copy_device,map_kernel,map_copy_host,map_total,map_total_chrono,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono,zip_copy_device,zip_kernel,zip_copy_host,zip_total,zip_total_chrono
10000000,1024,3.26205,0.16832,3.14083,9.29888,82.2216,3.25763,0.296768,0.010528,6.57882,6.58684,6.5032,0.227712,3.14614,12.3676,12.3766
20000000,1024,6.45635,0.3224,6.228,14.8083,84.7156,7.91808,0.582176,0.010112,10.2124,10.2209,12.9139,0.443232,6.24429,23.6349,23.6443
30000000,1024,9.67872,0.469568,9.34166,22.4614,87.5851,12.7618,1.23334,0.01056,17.5578,17.5671,19.5041,0.650912,9.34813,34.5093,34.5188
40000000,1024,13.1255,0.61984,12.413,29.582,129.531,18.0682,1.64019,0.010592,50.647,50.6566,26.1343,0.86688,12.6348,44.9778,44.9871
50000000,1024,16.0782,0.761216,15.5053,35.5487,97.9564,23.4487,1.88698,0.011456,27.3052,27.3135,34.7467,1.08659,15.5245,56.3338,56.3432
60000000,1024,19.2762,0.91232,18.5204,41.9729,105.608,27.3104,2.15722,0.01056,33.1464,33.1556,40.0074,1.30573,18.6109,65.8443,65.8535
70000000,1024,22.623,1.06131,21.7116,48.7562,165.639,34.1096,2.86157,0.011872,40.6672,40.6767,48.2725,1.51322,21.9527,77.6028,77.6117
80000000,1024,25.9484,1.22422,24.7234,78.9642,176.886,34.1463,2.28742,0.011616,40.2596,40.2685,53.1131,1.75773,24.7609,85.5589,85.5675
90000000,1024,28.854,1.38864,27.8153,63.0719,129.831,39.183,2.57267,0.010688,44.3395,44.3474,61.2412,1.97565,28.04,102.581,102.589
100000000,1024,32.0532,1.51827,30.8714,68.028,136.36,43.6786,2.85517,0.00976,50.3345,50.3427,66.2065,2.1937,31.0315,107.564,107.572
