size,numThreads,map_copy_device,map_kernel,map_copy_host,map_total,map_total_chrono,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono,zip_copy_device,zip_kernel,zip_copy_host,zip_total,zip_total_chrono
10000000,1024,3.26006,0.168096,3.13958,8.00534,71.9693,3.25504,0.295808,0.009824,5.55059,5.55905,6.50378,0.222784,3.15142,12.3164,12.3248
20000000,1024,6.59997,0.337632,6.63046,15.5311,122.844,7.88448,0.581312,0.010656,10.2191,10.2272,12.8888,0.447264,6.22346,22.656,22.6642
30000000,1024,9.6864,0.462496,9.32416,21.3132,81.4288,14.5207,1.23261,0.010368,17.5214,17.5292,21.0151,0.648224,9.33968,34.1161,34.1239
40000000,1024,12.8707,0.615776,12.4194,29.0725,96.5175,18.826,1.64208,0.012128,22.3675,22.3761,27.6477,0.868128,12.4601,65.7028,65.7132
50000000,1024,16.0678,0.761408,15.6639,34.5228,135.733,22.4046,1.53302,0.0112,25.8505,25.8582,34.0027,1.09446,15.5032,55.2909,55.2996
60000000,1024,19.2771,0.913184,18.6162,74.1923,169.668,28.713,2.36042,0.012256,34.7536,34.7634,40.7507,1.29949,18.6434,95.5155,95.5244
70000000,1024,22.4322,1.0727,21.6346,48.499,109.069,29.7003,2.01453,0.01456,35.4855,35.4946,45.8844,1.53814,21.6663,74.9143,74.9226
80000000,1024,25.866,1.22246,24.7516,76.8927,177.543,34.2128,2.28672,0.012,39.1093,39.1181,54.8942,1.75747,24.7531,86.5876,86.5962
90000000,1024,28.8538,1.37078,27.8111,61.5593,124.82,39.6307,2.57283,0.010976,44.4669,44.4747,61.1767,1.97667,27.8426,97.0022,97.011
100000000,1024,32.0136,1.5223,30.8825,68.0519,127.815,43.7806,2.85578,0.011456,50.435,50.4434,66.8687,2.19664,31.1559,107.784,107.792
