size,numThreads,reduce_copy_device,reduce_kernel,reduce_copy_host,reduce_total,reduce_total_chrono
10000000,1024,3.2753,0.265184,0.013312,5.1681,64.6215
20000000,1024,6.47453,0.497536,0.0176,9.76272,70.8949
30000000,1024,9.66624,0.729312,0.018112,13.2662,79.1887
40000000,1024,12.8711,0.960704,0.019552,15.6781,76.8684
50000000,1024,16.0857,1.19168,0.019744,19.1656,85.9695
60000000,1024,19.5325,1.42173,0.021216,24.0138,123.14
70000000,1024,22.4802,1.65123,0.019712,26.1132,114.301
80000000,1024,25.9011,1.88214,0.019008,31.2157,130.704
90000000,1024,28.9134,2.11146,0.018656,34.1764,99.6465
100000000,1024,32.1242,2.34307,0.019648,37.6996,99.3461
