size,map_duration,reduce_duration,zip_duration
10000000,44.87356,33.287013333333334,69.47592444444446
20000000,90.83302222222224,66.49344666666666,138.91071111111114
30000000,135.8763111111111,99.66371111111111,208.94866666666672
40000000,180.01084444444444,133.06566666666666,277.7651777777777
50000000,226.12737777777778,166.14844444444446,347.02653333333325
60000000,270.02868888888884,199.55477777777773,416.7116222222222
70000000,316.5278666666667,232.979,485.97406666666666
80000000,359.5048666666666,266.07571111111116,555.1760666666667
90000000,403.5056666666668,299.56413333333336,624.9197333333333
100000000,449.3135333333333,332.7856,694.2753555555556
